ID,Delivery_person_ID,Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Order_Date,Time_Orderd,Time_Order_picked,Weatherconditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken(min),Order_Hour,Picked_Hour,Age_group
0x3af3 ,MUMRES15DEL03 ,29.0,4.5,19.176269,72.836721,19.266269,72.926721,2022-04-02,1900-01-01 20:29:25.000000,1900-01-01 20:36:48,Sandstorms,Jam,2,Buffet ,electric_scooter ,1.0,No,Metropolitian,20,20,20,25-29
0x3aab ,MYSRES01DEL01 ,35.0,4.0,12.311072,76.654878,12.351072,76.694878,2022-03-01,1900-01-01 14:57:02.000000,1900-01-01 15:10:45,Windy,High,1,Meal ,scooter ,1.0,No,Metropolitian,33,14,15,35-39
0x689b ,PUNERES20DEL01 ,33.0,4.2,18.592718,73.773572,18.702718,73.883572,2022-03-16,1900-01-01 20:33:08.000000,1900-01-01 20:41:10,Sandstorms,Jam,2,Snack ,motorcycle ,1.0,No,Metropolitian,40,20,20,30-34
0x6f67 ,HYDRES14DEL01 ,34.0,4.9,17.426228,78.407495,17.496228,78.477495,2022-03-20,1900-01-01 20:43:56.000000,1900-01-01 20:52:28,Cloudy,Jam,0,Snack ,motorcycle ,1.0,No,Metropolitian,41,20,20,30-34
0xc9cf ,KOLRES15DEL03 ,21.0,4.7,22.552672,88.352885,22.582672,88.382885,2022-02-15,1900-01-01 21:16:54.000000,1900-01-01 21:31:34,Windy,Jam,0,Meal ,motorcycle ,1.0,No,Urban,15,21,21,20-24
0x36b8 ,PUNERES19DEL02 ,25.0,4.1,18.563934,73.915367,18.643935,73.995367,2022-03-16,1900-01-01 20:24:12.000000,1900-01-01 20:29:38,Sandstorms,Jam,0,Snack ,motorcycle ,2.0,No,Metropolitian,36,20,20,25-29
0x5795 ,RANCHIRES06DEL02 ,31.0,4.7,23.357804,85.325146,23.487804,85.455146,2022-03-10,1900-01-01 22:35:33.000000,1900-01-01 22:45:19,Sandstorms,Low,2,Meal ,electric_scooter ,0.0,No,Metropolitian,26,22,22,30-34
0x6c6b ,COIMBRES13DEL01 ,37.0,5.0,11.003669,76.976494,11.013669,76.986494,2022-03-11,1900-01-01 08:20:06.000000,1900-01-01 08:33:37,Sandstorms,Low,1,Snack ,motorcycle ,1.0,No,Metropolitian,20,8,8,35-39
0xb816 ,CHENRES19DEL02 ,33.0,4.3,12.986047,80.218114,13.116047,80.348114,2022-03-27,1900-01-01 19:35:34.000000,1900-01-01 19:49:07,Windy,Jam,2,Meal ,scooter ,1.0,No,Metropolitian,39,19,19,30-34
0x539b ,MUMRES02DEL01 ,25.0,4.0,19.221315,72.862381,19.261315,72.902381,2022-03-26,1900-01-01 12:26:13.000000,1900-01-01 12:33:59,Cloudy,High,1,Buffet ,motorcycle ,1.0,No,Metropolitian,34,12,12,25-29
0xa1b2 ,CHENRES01DEL01 ,29.0,4.5,13.005801,80.250744,13.115801,80.360744,2022-03-27,1900-01-01 18:40:25.000000,1900-01-01 18:52:03,Sunny,Medium,2,Meal ,electric_scooter ,1.0,No,Metropolitian,15,18,18,25-29
0x3231 ,JAPRES16DEL03 ,27.0,5.0,26.849596,75.800512,26.879596,75.830512,2022-04-05,1900-01-01 20:40:23.000000,1900-01-01 20:41:04,Stormy,Jam,0,Snack ,motorcycle ,0.0,No,Urban,18,20,20,25-29
0x8bc0 ,SURRES15DEL03 ,35.0,4.3,21.160522,72.771477,21.250522,72.861477,2022-03-12,1900-01-01 23:24:56.000000,1900-01-01 23:34:52,Cloudy,Low,1,Drinks ,scooter ,0.0,No,Metropolitian,38,23,23,35-39
0x2288 ,BANGRES09DEL03 ,32.0,4.0,12.934179,77.615797,13.024179,77.705797,2022-03-16,1900-01-01 21:21:18.000000,1900-01-01 21:39:19,Windy,Jam,0,Buffet ,motorcycle ,1.0,No,Metropolitian,47,21,21,30-34
0x3c5e ,PUNERES04DEL01 ,23.0,4.8,18.51421,73.838429,18.62421,73.948429,2022-04-02,1900-01-01 23:40:05.000000,1900-01-01 23:45:01,Windy,Low,2,Buffet ,electric_scooter ,0.0,No,Urban,12,23,23,20-24
0x3e60 ,COIMBRES02DEL03 ,31.0,4.8,11.022477,76.995667,11.052477,77.025667,2022-04-01,1900-01-01 22:37:24.000000,1900-01-01 22:51:40,Sandstorms,Low,2,Drinks ,motorcycle ,1.0,No,Metropolitian,26,22,22,30-34
0xbff ,SURRES16DEL02 ,36.0,4.1,21.160437,72.774209,21.210437,72.824209,2022-03-05,1900-01-01 22:36:13.000000,1900-01-01 22:42:16,Stormy,Low,0,Drinks ,motorcycle ,1.0,No,Urban,22,22,22,35-39
0xd936 ,GOARES15DEL02 ,26.0,4.3,15.51315,73.78346,15.56315,73.83346,2022-02-11,1900-01-01 23:29:28.000000,1900-01-01 23:35:18,Sandstorms,Low,0,Buffet ,motorcycle ,0.0,No,Urban,21,23,23,25-29
0xd681 ,GOARES07DEL01 ,38.0,4.9,15.561295,73.749478,15.601295,73.789478,2022-02-11,1900-01-01 13:40:46.000000,1900-01-01 13:40:35,Cloudy,High,1,Drinks ,scooter ,1.0,No,Urban,25,13,13,35-39
0x30c8 ,PUNERES19DEL02 ,32.0,4.6,18.563934,73.915367,18.693935,74.045367,2022-04-02,1900-01-01 22:36:45.000000,1900-01-01 22:46:34,Cloudy,Low,2,Drinks ,scooter ,1.0,No,Metropolitian,30,22,22,30-34
0xb843 ,PUNERES02DEL01 ,33.0,4.9,18.55144,73.804855,18.62144,73.874855,2022-03-08,1900-01-01 18:57:18.000000,1900-01-01 19:11:00,Sunny,Medium,1,Snack ,motorcycle ,1.0,No,Metropolitian,22,18,19,30-34
0xb3a0 ,PUNERES18DEL01 ,20.0,4.7,18.593481,73.785901,18.633481,73.825901,2022-04-03,1900-01-01 14:19:29.000000,1900-01-01 14:27:43,Windy,High,1,Snack ,scooter ,0.0,No,Urban,10,14,14,20-24
0x6531 ,SURRES08DEL01 ,20.0,4.8,21.173343,72.792731,21.183343,72.802731,2022-03-30,1900-01-01 11:00:54.000000,1900-01-01 11:12:14,Sandstorms,Low,2,Meal ,scooter ,1.0,No,Metropolitian,19,11,11,20-24
0x4bda ,HYDRES17DEL02 ,35.0,5.0,17.451976,78.385883,17.471976,78.405883,2022-04-01,1900-01-01 09:49:54.000000,1900-01-01 09:57:09,Sunny,Low,2,Snack ,scooter ,1.0,No,Urban,11,9,9,35-39
0x9d26 ,BANGRES17DEL02 ,26.0,4.9,12.972532,77.608179,12.992532,77.628179,2022-03-28,1900-01-01 08:41:46.000000,1900-01-01 08:58:26,Stormy,Low,2,Buffet ,scooter ,0.0,No,Metropolitian,11,8,8,25-29
0x9b18 ,BANGRES17DEL01 ,22.0,4.8,12.972532,77.608179,13.042532,77.678179,2022-03-18,1900-01-01 23:02:19.000000,1900-01-01 23:12:02,Fog,Low,1,Snack ,motorcycle ,1.0,No,Metropolitian,28,23,23,20-24
0x5d99 ,CHENRES11DEL01 ,35.0,4.3,13.064181,80.236442,13.134181,80.306442,2022-03-14,1900-01-01 17:25:56.000000,1900-01-01 17:33:18,Cloudy,Medium,1,Snack ,motorcycle ,1.0,No,Metropolitian,33,17,17,35-39
0x4f0 ,MUMRES17DEL02 ,30.0,4.7,19.121999,72.90849299999999,19.201999,72.988493,2022-04-06,1900-01-01 18:52:57.251778,1900-01-01 18:36:55,Cloudy,Medium,1,Drinks ,scooter ,1.0,No,Metropolitian,33,18,18,30-34
0xb796 ,SURRES17DEL03 ,37.0,4.7,21.149569,72.772697,21.239569,72.862697,2022-04-04,1900-01-01 19:49:09.000000,1900-01-01 19:53:08,Sandstorms,Jam,0,Snack ,motorcycle ,3.0,No,Metropolitian,52,19,19,35-39
0x85b4 ,MUMRES07DEL01 ,28.0,4.6,19.091458,72.827808,19.201458,72.937808,2022-03-08,1900-01-01 19:11:20.000000,1900-01-01 19:28:23,Stormy,Jam,1,Snack ,scooter ,1.0,No,Metropolitian,22,19,19,25-29
0xc644 ,KOLRES16DEL02 ,37.0,4.9,22.539129,88.365507,22.559129,88.385507,2022-02-13,1900-01-01 11:00:23.000000,1900-01-01 11:02:20,Fog,Low,1,Snack ,scooter ,1.0,No,Urban,16,11,11,35-39
0x6999 ,MUMRES02DEL03 ,23.0,4.9,19.221315,72.862381,19.281315,72.922381,2022-03-24,1900-01-01 21:43:14.000000,1900-01-01 21:49:07,Sunny,Jam,2,Drinks ,electric_scooter ,0.0,No,Metropolitian,11,21,21,20-24
0x63b6 ,BANGRES05DEL03 ,27.0,4.9,12.970324,77.645748,13.030324,77.705748,2022-03-19,1900-01-01 19:05:13.000000,1900-01-01 19:19:07,Windy,Medium,1,Drinks ,scooter ,1.0,No,Metropolitian,25,19,19,25-29
0xa30b ,CHENRES11DEL01 ,37.0,4.8,13.064181,80.236442,13.104181,80.276442,2022-03-09,1900-01-01 16:46:54.000000,1900-01-01 16:56:06,Cloudy,Medium,0,Drinks ,motorcycle ,1.0,No,Urban,26,16,16,35-39
0x3556 ,SURRES09DEL01 ,33.0,5.0,21.175975,72.795503,21.185975,72.805503,2022-03-19,1900-01-01 11:34:46.000000,1900-01-01 11:42:39,Sunny,High,2,Snack ,scooter ,1.0,No,Metropolitian,18,11,11,30-34
0x5554 ,RANCHIRES15DEL01 ,31.0,4.9,23.369746,85.33982,23.409746,85.37982,2022-04-03,1900-01-01 15:11:26.000000,1900-01-01 15:17:44,Fog,Medium,1,Snack ,motorcycle ,1.0,No,Metropolitian,16,15,15,30-34
0x25fd ,BANGRES19DEL01 ,31.0,4.8,12.914264,77.6784,13.024264,77.7884,2022-03-25,1900-01-01 22:49:59.000000,1900-01-01 22:58:25,Stormy,Low,2,Drinks ,scooter ,1.0,No,Metropolitian,23,22,22,30-34
0x7ac8 ,COIMBRES14DEL02 ,28.0,4.8,11.003681,76.975525,11.083681,77.055525,2022-04-04,1900-01-01 20:46:06.000000,1900-01-01 20:56:05,Sandstorms,Jam,0,Drinks ,motorcycle ,1.0,No,Metropolitian,36,20,20,25-29
0x3da1 ,SURRES08DEL03 ,31.0,4.7,21.173343,72.792731,21.233343,72.852731,2022-03-26,1900-01-01 22:51:51.000000,1900-01-01 23:06:11,Cloudy,Low,2,Snack ,motorcycle ,0.0,No,Metropolitian,16,22,23,30-34
0x272d ,COIMBRES07DEL03 ,24.0,4.7,10.96185,76.971082,11.05185,77.061082,2022-03-10,1900-01-01 17:56:54.000000,1900-01-01 18:04:20,Sunny,Medium,0,Buffet ,motorcycle ,0.0,No,Urban,19,17,18,20-24
0xddc5 ,AGRRES12DEL03 ,39.0,4.6,27.165108,78.015053,27.255108,78.105053,2022-02-14,1900-01-01 22:48:27.000000,1900-01-01 23:00:58,Sunny,Low,1,Snack ,motorcycle ,1.0,No,Metropolitian,27,22,23,35-39
0xb002 ,JAPRES14DEL01 ,32.0,4.5,26.88842,75.800689,26.89842,75.810689,2022-03-26,1900-01-01 09:30:55.000000,1900-01-01 09:40:53,Windy,Low,2,Buffet ,scooter ,0.0,No,Metropolitian,20,9,9,30-34
0x8aa2 ,JAPRES18DEL02 ,25.0,4.8,26.913987,75.752891,26.993987,75.832891,2022-03-29,1900-01-01 22:27:52.000000,1900-01-01 22:37:54,Sandstorms,Low,1,Drinks ,scooter ,0.0,No,Urban,18,22,22,25-29
0xb55a ,MYSRES04DEL03 ,33.0,4.9,12.3085,76.665808,12.3385,76.695808,2022-03-30,1900-01-01 21:56:59.000000,1900-01-01 22:02:35,Sunny,Jam,2,Drinks ,scooter ,0.0,No,Metropolitian,22,21,22,30-34
0x73cc ,SURRES12DEL01 ,30.0,4.4,21.183434,72.814492,21.253434,72.884492,2022-03-12,1900-01-01 22:43:00.000000,1900-01-01 22:58:43,Cloudy,Low,2,Drinks ,scooter ,1.0,No,Metropolitian,34,22,22,30-34
0xbe80 ,MUMRES04DEL01 ,33.0,5.0,19.254567,72.848923,19.364567,72.958923,2022-03-31,1900-01-01 23:53:18.000000,1900-01-01 23:55:02,Sandstorms,Low,0,Buffet ,motorcycle ,0.0,No,Urban,24,23,23,30-34
0x1609 ,PUNERES02DEL01 ,36.0,4.9,18.55144,73.804855,18.59144,73.844855,2022-03-17,1900-01-01 15:26:14.000000,1900-01-01 15:40:45,Fog,Medium,2,Drinks ,scooter ,1.0,No,Metropolitian,17,15,15,35-39
0xd255 ,ALHRES07DEL02 ,21.0,4.8,25.449659,81.839744,25.469659,81.859744,2022-02-15,1900-01-01 10:22:51.000000,1900-01-01 10:32:33,Sandstorms,Low,2,Meal ,electric_scooter ,0.0,No,Metropolitian,14,10,10,20-24
0xde72 ,DEHRES19DEL02 ,39.0,4.9,30.372202,78.077151,30.422202,78.127151,2022-02-15,1900-01-01 20:56:26.000000,1900-01-01 21:04:11,Stormy,Jam,2,Meal ,motorcycle ,1.0,No,Metropolitian,30,20,21,35-39
0xa258 ,CHENRES12DEL03 ,39.0,4.6,12.972793,80.249982,13.062793,80.339982,2022-03-16,1900-01-01 20:15:09.000000,1900-01-01 20:18:57,Cloudy,Jam,1,Snack ,scooter ,1.0,No,Metropolitian,36,20,20,35-39
0x8b53 ,SURRES11DEL01 ,22.0,4.7,21.157735,72.768778,21.197735,72.808778,2022-03-17,1900-01-01 12:15:28.000000,1900-01-01 12:17:50,Sunny,High,1,Buffet ,scooter ,1.0,No,Urban,18,12,12,20-24
0xbbde ,SURRES01DEL01 ,32.0,4.6,21.186438,72.794115,21.226438,72.834115,2022-03-15,1900-01-01 15:34:13.000000,1900-01-01 15:46:25,Fog,Medium,1,Meal ,scooter ,0.0,No,Metropolitian,17,15,15,30-34
0xa9f ,BANGRES13DEL01 ,30.0,4.7,12.935662,77.61413,12.975662,77.65413,2022-03-11,1900-01-01 15:47:13.251778,1900-01-01 15:31:11,Unknown,Unknown,1,Drinks ,scooter ,0.0,No,Metropolitian,19,15,15,30-34
0x4b7f ,HYDRES13DEL03 ,26.0,4.7,17.431477,78.40035,17.491477,78.46035,2022-03-05,1900-01-01 23:55:26.000000,1900-01-01 00:09:32,Fog,Low,1,Buffet ,motorcycle ,0.0,No,Metropolitian,10,23,0,25-29
0xb962 ,CHENRES11DEL03 ,35.0,4.1,13.064181,80.236442,13.154181,80.326442,2022-03-12,1900-01-01 20:28:18.000000,1900-01-01 20:43:18,Sandstorms,Jam,1,Buffet ,motorcycle ,2.0,No,Metropolitian,37,20,20,35-39
0x633c ,BANGRES010DEL03 ,39.0,4.6,12.933298,77.614293,13.023298,77.704293,2022-03-29,1900-01-01 20:51:04.000000,1900-01-01 21:02:49,Fog,Jam,1,Drinks ,scooter ,2.0,No,Metropolitian,44,20,21,35-39
0x2dc6 ,VADRES20DEL01 ,34.0,4.7,22.311358,73.164798,22.351358,73.204798,2022-03-19,1900-01-01 12:37:58.000000,1900-01-01 12:46:06,Windy,High,2,Drinks ,electric_scooter ,1.0,No,Metropolitian,28,12,12,30-34
0x903a ,BANGRES11DEL01 ,27.0,4.7,12.934365,77.616155,13.044365,77.726155,2022-03-10,1900-01-01 21:04:23.000000,1900-01-01 21:17:20,Cloudy,Jam,2,Snack ,scooter ,1.0,No,Metropolitian,42,21,21,25-29
0x1fb7 ,CHENRES02DEL01 ,25.0,4.4,13.086438,80.220672,13.196438,80.330672,2022-03-27,1900-01-01 18:20:12.000000,1900-01-01 18:24:34,Cloudy,Medium,2,Snack ,scooter ,1.0,No,Metropolitian,39,18,18,25-29
0x34d7 ,MUMRES04DEL01 ,25.0,4.7,19.254567,72.848923,19.364567,72.958923,2022-03-27,1900-01-01 18:24:02.000000,1900-01-01 18:29:55,Stormy,Medium,0,Meal ,motorcycle ,0.0,No,Urban,20,18,18,25-29
0x156b ,JAPRES03DEL02 ,30.0,5.0,26.913483,75.803139,26.933483,75.823139,2022-03-24,1900-01-01 11:49:55.000000,1900-01-01 11:53:00,Stormy,High,1,Buffet ,motorcycle ,1.0,No,Metropolitian,31,11,11,30-34
0x56ad ,HYDRES04DEL03 ,24.0,4.6,17.411028,78.329645,17.471028,78.389645,2022-03-09,1900-01-01 20:46:50.000000,1900-01-01 20:59:35,Stormy,Jam,1,Buffet ,motorcycle ,0.0,No,Metropolitian,13,20,20,20-24
0x837c ,PUNERES14DEL02 ,39.0,4.8,18.516216,73.842527,18.566216,73.892527,2022-03-03,1900-01-01 21:57:59.000000,1900-01-01 22:13:18,Stormy,Jam,1,Meal ,motorcycle ,1.0,No,Metropolitian,28,21,22,35-39
0xcbc4 ,GOARES04DEL01 ,25.0,4.8,15.5696,73.742294,15.6096,73.782294,2022-02-15,1900-01-01 12:47:18.000000,1900-01-01 12:52:18,Windy,High,1,Snack ,scooter ,1.0,No,Urban,19,12,12,25-29
0xc19e ,AURGRES08DEL02 ,37.0,4.6,19.876428,75.364792,19.956428,75.444792,2022-02-18,1900-01-01 23:32:58.000000,1900-01-01 23:49:25,Fog,Low,0,Buffet ,motorcycle ,2.0,Yes,Urban,42,23,23,35-39
0x1d60 ,BANGRES12DEL01 ,24.0,5.0,12.939496,77.625999,12.949496,77.635999,2022-03-01,1900-01-01 10:52:13.000000,1900-01-01 10:58:51,Fog,Low,0,Drinks ,motorcycle ,1.0,No,Metropolitian,23,10,10,20-24
0x95fb ,HYDRES05DEL01 ,25.0,4.2,17.433809,78.386744,17.543809,78.496744,2022-03-23,1900-01-01 21:28:33.000000,1900-01-01 21:44:19,Stormy,Jam,0,Meal ,motorcycle ,1.0,No,Metropolitian,39,21,21,25-29
0x8195 ,RANCHIRES17DEL01 ,32.0,4.6,23.374878,85.335739,23.384878,85.345739,2022-04-01,1900-01-01 10:13:03.000000,1900-01-01 10:23:07,Stormy,Low,2,Drinks ,motorcycle ,1.0,No,Metropolitian,25,10,10,30-34
0xc042 ,AGRRES010DEL01 ,34.0,4.7,27.163303,78.057044,27.233303,78.127044,2022-02-16,1900-01-01 23:04:00.000000,1900-01-01 23:08:59,Sandstorms,Low,1,Drinks ,scooter ,0.0,No,Metropolitian,15,23,23,30-34
0x6d19 ,INDORES12DEL02 ,38.0,4.9,22.74806,75.8934,22.76806,75.9134,2022-03-11,1900-01-01 08:43:53.000000,1900-01-01 08:58:17,Cloudy,Low,2,Drinks ,scooter ,1.0,No,Urban,15,8,8,35-39
0x35e6 ,JAPRES15DEL03 ,36.0,4.8,26.891191,75.802083,26.981191,75.892083,2022-03-14,1900-01-01 17:51:09.000000,1900-01-01 17:58:57,Sunny,Medium,2,Buffet ,electric_scooter ,0.0,No,Metropolitian,15,17,17,35-39
0xb437 ,SURRES16DEL01 ,25.0,5.0,21.160437,72.774209,21.270437,72.884209,2022-03-18,1900-01-01 20:29:32.000000,1900-01-01 20:40:33,Stormy,Jam,1,Meal ,motorcycle ,1.0,No,Metropolitian,15,20,20,25-29
0x97e3 ,MYSRES16DEL02 ,29.0,5.0,12.316967,76.603067,12.366967,76.653067,2022-04-01,1900-01-01 22:23:15.000000,1900-01-01 22:25:03,Sunny,Low,0,Drinks ,motorcycle ,0.0,No,Metropolitian,18,22,22,25-29
0xa3e0 ,MUMRES05DEL03 ,36.0,4.7,18.927584,72.832585,19.017584,72.922585,2022-04-04,1900-01-01 23:44:35.000000,1900-01-01 23:50:57,Sandstorms,Low,2,Drinks ,electric_scooter ,0.0,No,Metropolitian,29,23,23,35-39
0x4161 ,COIMBRES19DEL02 ,33.0,4.7,11.022298,76.998349,11.072298,77.048349,2022-03-11,1900-01-01 23:29:14.000000,1900-01-01 23:33:22,Fog,Low,0,Snack ,motorcycle ,0.0,No,Metropolitian,20,23,23,30-34
0x1236 ,MYSRES07DEL01 ,36.0,4.4,12.325461,76.632278,12.365461,76.672278,2022-03-13,1900-01-01 12:40:37.000000,1900-01-01 12:56:06,Cloudy,High,2,Meal ,scooter ,1.0,No,Metropolitian,39,12,12,35-39
0x2558 ,PUNERES17DEL01 ,21.0,4.8,18.530963,73.828972,18.640963,73.938972,2022-03-04,1900-01-01 23:30:43.000000,1900-01-01 23:49:25,Windy,Low,0,Snack ,motorcycle ,0.0,No,Metropolitian,19,23,23,20-24
0x3185 ,HYDRES19DEL03 ,25.0,4.8,17.458998,78.500366,17.488998,78.530366,2022-03-26,1900-01-01 23:57:58.000000,1900-01-01 00:10:05,Cloudy,Low,1,Snack ,scooter ,1.0,No,Urban,19,23,0,25-29
0x3c57 ,MUMRES14DEL02 ,23.0,4.8,19.1813,72.836191,19.3113,72.966191,2022-03-16,1900-01-01 22:50:16.000000,1900-01-01 23:00:50,Windy,Low,0,Meal ,motorcycle ,0.0,No,Metropolitian,17,22,23,20-24
0x4863 ,COIMBRES02DEL01 ,25.0,4.6,11.022477,76.995667,11.032477,77.005667,2022-03-01,1900-01-01 10:27:52.000000,1900-01-01 10:40:03,Stormy,Low,2,Snack ,motorcycle ,1.0,No,Urban,15,10,10,25-29
0x6757 ,INDORES05DEL02 ,24.0,4.3,22.727021,75.884167,22.747021,75.904167,2022-03-15,1900-01-01 08:46:34.000000,1900-01-01 09:04:39,Sandstorms,Low,0,Meal ,motorcycle ,0.0,No,Urban,19,8,9,20-24
0x22ad ,BANGRES03DEL03 ,27.0,4.6,12.979166,77.640709,13.069166,77.730709,2022-03-04,1900-01-01 21:27:34.000000,1900-01-01 21:43:14,Sandstorms,Jam,0,Buffet ,motorcycle ,1.0,No,Metropolitian,29,21,21,25-29
0x9f99 ,MUMRES11DEL01 ,23.0,4.8,18.994237,72.825553,19.104237,72.935553,2022-03-18,1900-01-01 22:35:26.000000,1900-01-01 22:42:56,Cloudy,Low,2,Snack ,scooter ,1.0,No,Urban,22,22,22,20-24
0x6781 ,MYSRES12DEL02 ,21.0,4.3,12.284747,76.625861,12.414747,76.755861,2022-03-23,1900-01-01 20:12:18.000000,1900-01-01 20:22:44,Fog,Jam,1,Drinks ,scooter ,0.0,No,Metropolitian,42,20,20,20-24
0x1b8d ,SURRES09DEL02 ,27.0,4.7,21.175975,72.795503,21.195975,72.815503,2022-03-15,1900-01-01 10:55:59.000000,1900-01-01 11:13:26,Sandstorms,Low,2,Snack ,scooter ,0.0,No,Urban,12,10,11,25-29
0x1aea ,COIMBRES12DEL02 ,32.0,4.2,11.000762,76.981876,11.130762,77.111876,2022-03-08,1900-01-01 20:35:51.000000,1900-01-01 20:47:11,Cloudy,Jam,1,Snack ,motorcycle ,1.0,No,Metropolitian,38,20,20,30-34
0x1e42 ,SURRES08DEL01 ,25.0,4.6,21.173343,72.792731,21.283343,72.902731,2022-03-10,1900-01-01 23:20:56.000000,1900-01-01 23:35:10,Sunny,Low,0,Drinks ,motorcycle ,1.0,No,Metropolitian,23,23,23,25-29
0xddc8 ,KNPRES05DEL02 ,39.0,4.7,26.479108,80.315042,26.499108,80.335042,2022-02-11,1900-01-01 10:38:50.000000,1900-01-01 10:54:41,Cloudy,Low,1,Meal ,scooter ,0.0,No,Metropolitian,15,10,10,35-39
0x24ac ,SURRES05DEL02 ,27.0,4.6,21.175104,72.804342,21.255104,72.884342,2022-03-14,1900-01-01 23:50:38.000000,1900-01-01 23:52:38,Sunny,Low,0,Snack ,motorcycle ,1.0,No,Metropolitian,24,23,23,25-29
0x3f01 ,MUMRES15DEL01 ,39.0,3.8,19.176269,72.836721,19.286269,72.946721,2022-03-16,1900-01-01 19:56:42.000000,1900-01-01 20:04:01,Windy,Jam,1,Drinks ,motorcycle ,0.0,No,Metropolitian,37,19,20,35-39
0x628c ,BANGRES15DEL02 ,31.0,4.8,12.975377,77.696664,13.025377,77.746664,2022-03-01,1900-01-01 22:18:25.000000,1900-01-01 22:26:43,Sandstorms,Low,1,Snack ,scooter ,0.0,No,Metropolitian,24,22,22,30-34
